INFO,Title,Nasopharyngeal Carcinoma (NPC) Data Dictionary,,,,,,,,,
INFO,Name,npc_v1.0,,,,,,,,,
INFO,Release Notes,,,,,,,,,,
INFO,Parent Model,pcdc_v2.0,,,,,,,,,
INFO,License,Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/),,,,,,,,,
INFO,Modeling Wiki,https://docs.pedscommons.org/,,,,,,,,,
INFO,Consortium Info,https://commons.cri.uchicago.edu/pcdc/,,,,,,,,,
INFO,Description,,,,,,,,,,
INFO,Total Variables,,,,,,,,,,
,,,,,,,,,,,
RowType,VariableName,DataType,Tier,VariableDescription,VariableCode,PermissibleValue,ValueDescription,ValueCode,ImplementationNotes,Mappings,Modeling notes (Will be ignored in processing)
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,YEAR_AT_ENROLLMENT,Integer,Optional,The year at which a subject enrolled in a study.,ncit:C177353,_undefined_,_undefined_,_undefined_,ConditionalStatement: if 'ENROLLED_STATUS' == 'Enrolled'.,,
VD,DATA_SOURCE,Enum,Optional,"Source of information collected in the course of a clinical trial, specifically used to differentiate between data as collected versus data that are derived or calculated.",ncit:C16493,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Registry,"Observational studies which include an organized system that uses observational methods to collect uniform data (clinical and other) prospectively for a population defined by a particular disorder/disease, condition (including susceptibility to a disorder), or exposure (including products, health care services, and/or procedures) and that serves a predetermined scientific, clinical, or policy purpose. Patient registries may be single purpose or on-going data collection programs that address one or more questions. (AHRQ)",ncit:C129000,"ConsortiumNotes: For TROD, use Registry only.",,
PD,,,,,,Therapeutic Trial,"A clinical study that involves administering of exposure to the agent/agents to subjects with particular disease to elucidate the most appropriate treatment for a specific medical condition, or to prolong or improve the patient's life.",ncit:C39536,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,STUDY_PHASE,Enum,Optional,The phase of the clinical trial that the subject was enrolled in for the collection of this data.,ncit:C48281,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Pilot,The initial study examining a new method or treatment.,ncit:C15303,,,
PD,,,,,,Phase 1,A clinical research protocol designed to test a new biomedical intervention in a small group of people for the first time. A Phase I trial can be to establish the toxicity of a new treatment with escalating intensity of the treatment administered and/or to determine the side effects of a new treatment for a particular indication in subjects.,ncit:C15600,,,
PD,,,,,,Phase 2,"A clinical research protocol designed to study a biomedical or behavioral intervention in a larger group of people (several hundred), to evaluate the drug's effectiveness for a particular indication in patients with the disease or condition under study, and to determine the common short-term side effects and risks associated with the intervention.",ncit:C15601,,,
PD,,,,,,Phase 3,"A clinical research protocol designed to investigate the efficacy of the biomedical or behavioral intervention in large groups of human subjects (from several hundred to several thousand), to confirm efficacy, to monitor adverse reactions to the new medication or treatment regimen with respect to long-term use and by comparing the intervention to other standard or experimental interventions as well as to a placebo.",ncit:C15602,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,STUDY_TYPE,Enum,Optional,"Source of information collected in the course of a clinical trial, specifically used to differentiate between data as collected versus data that are derived or calculated.",ncit:C142175,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Frontline,A clinical trial for previously untreated patients that studies the use of a first line of treatment.,ncit:C185306,,,
PD,,,,,,Retrieval,A trial to assess the efficacy of reinduction therapy.,ncit:C185307,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Protocol,,,,,,,,,,
TD,Time Period,,Priority,,,,,,ConditionalStatement: Implement as needed,,
TG,One row per subject per time period type,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,SUBMITTER_ID,String,Mandatory,An ID provided by the data contributor that identifies a unique time period and that is referenced throughout subsequent tabels in the TIME_PERIOD_SUBMITTER_ID variables.,,_undefined_,_undefined_,_undefined_,,,
VD,PARENT_SUBMITTER_ID,String,Mandatory,"The SUBMITTER_ID of the time period in whose context a subsequent time period takes place. For example, multiple treatment courses occuring the ""Initial Diagnosis"" period would each reference the SUBMITTER_ID of the ""Initial Diagnosis"" period as their PARENT_SUBMITTER_ID.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'TIME_PERIOD_TYPE' == 'Course'.,,
VD,TIME_PERIOD_TYPE,Enum,Mandatory,The type of time period being reported.,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Disease Phase,The stage or period of an individual's disease.,ncit:C168878,,,
PD,,,,,,Course,The type of protocol treatment course administered with respect to Course Timing.,ncit:C187095,,,
VD,DISEASE_PHASE,Enum,Mandatory,"The phase of the cancer treatment process during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see ""Disease Phase Timing and Course Table"" in the documentation for additional guidance).",ncit:C168878,_undefined_,_undefined_,_undefined_,"ConditionalStatement: If 'TIME_PERIOD_TYPE' == 'Disease Phase' | ConsortiumNote: For COG initial MB data, all will be initial diagnosis.",,
PD,,,,,,Initial Diagnosis,The first diagnosis of the individual's condition.,ncit:C156813,,,
PD,,,,,,Relapse,The return of a disease after a period of remission.,ncit:C38155,,,
PD,,,,,,Progression,A process that manifests as the worsening of a disease over time.,ncit:C17747,,,
PD,,,,,,Refractory/Progression,Either the return of the disease or the progression of the disease.,ncit:C174991,,,
VD,COURSE,Enum,Mandatory,"The protocol treatment ""course"" during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see ""Disease Phase Timing and Course Table"" in the documentation for additional guidance).",ncit:C168807,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'TIME_PERIOD_TYPE' == 'Course'.,,
PD,,,,,,Induction,The first choice of treatment for a particular type of cancer.,ncit:C158876,,,
PD,,,,,,Concomitant Chemoradiation Therapy,,,ConsortiumNotes: Specifically for TROD data.,New PD,
PD,,,,,,Consolidation,Treatment that is given after initial therapy to kill any remaining cancer cells.,ncit:C15679,"ConsortiumNote: Use for frontline treatment (initial diagnosis): Radiotherapy alone, Chemoradiotherapy + Immunotherapy.",,
PD,,,,,,Maintenance,Continuation of treatment for an extended period of time to prevent relapse.,ncit:C15688,,,
PD,,,,,,"Chemotherapy, NOS",The use of synthetic or naturally-occurring chemicals for the treatment of diseases.,ncit:C15632,ConsortiumNote: Only when DISEASE_PHASE = 'Relapse'.,,
PD,,,,,,Radiation Therapy,Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.,ncit:C15313,ConsortiumNote: Only when DISEASE_PHASE = 'Relapse'.,,
PD,,,,,,Immunotherapy,Therapy designed to induce changes in a patient's immune status in order to treat disease.,ncit:C15262,ConsortiumNote: Only when DISEASE_PHASE = 'Relapse'.,,
VD,TIME_PERIOD_NUMBER,Integer,Mandatory,"This variable indicates the ordinal numbering of time periods of the same TIME_PERIOD_TYPE within its various subgroups (e.g., Relapse 1, Relapse 2, Relapse 3, etc.). The observations across domains can therefore be organized longitudinally without the need for specific dates.",,_undefined_,_undefined_,_undefined_,,,
VD,YEAR_AT_START,Integer,Priority,The year at the start of the indicated time period.,,_undefined_,_undefined_,_undefined_,,,
VD,AGE_AT_START,Integer,Mandatory,The age (in days) of the patient at the start of the reported time period.,,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'TIME_PERIOD_TYPE' is not null.,,
VD,AGE_AT_END,Integer,Optional,The age (in days) of the patient at the end of the reported time period.,,_undefined_,_undefined_,_undefined_,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Protocol,,,,,,,,,,
TD,Off Protocol Therapy Or Study,,Optional,,,,,,,,
TG,One row per subject per off protocol therapy or study per reason off,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,AGE_OFF,Integer,Mandatory,The age (in days) when the subject went off of the protocol therapy or study.,ncit:C168844,_undefined_,_undefined_,_undefined_,,,
VD,TIME_PERIOD_SUBMITTER_ID,String,Optional,"This is the SUBMITTER_ID of the time period (defined in the ""Time Period"" table) during which this observation takes place.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: Mandatory if age at observation is not known.,,
VD,OFF_TYPE,Enum,Priority,Did the subject go off of a study or off of a certain protocol therapy?,ncit:C173256,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Protocol Therapy,No longer receiving protocol therapy.,ncit:C173257,,,
PD,,,,,,Study,No longer participating in a study; not being followed and will not be retreated.,ncit:C29851,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,REASON_OFF,Enum,Priority,The reason a subject went off the therapy or study.,ncit:C173519,_undefined_,_undefined_,_undefined_,"ConsortiumNote: If multiple reasons off ""protocol therapy"" or ""study"", include one observation per reason.",,
PD,,,,,,Death,Specifies whether the life of an entity has ceased.,ncit:C28554,,,
PD,,,,,,Lost to Follow-Up,The subject was not available for follow-up procedures.,ncit:C70740,,,
PD,,,,,,Completion of Planned Therapy,The end of the planned treatment.,ncit:C168935,,,
PD,,,,,,Physician Decision,"A position, opinion or judgment reached after consideration by a physician with reference to subject.",ncit:C48250,,,
PD,,,,,,Withdrawal of Consent,When the permission to do something is rescinded or withdrawn.,ncit:C48271,,,
PD,,,,,,Subject/Guardian Refused Further Treatment,The subject or their guardian has refused further treatment.,ncit:C168934,,,
PD,,,,,,Disease Progression,The worsening of a disease over time.,ncit:C17747,,,
PD,,,,,,Secondary Malignancy,"A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.",ncit:C4968,,,
PD,,,,,,Toxicity,The finding of bodily harm due to the poisonous effects of something.,ncit:C27990,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,REASON_OFF_OTHER,String,Optional,"Specify the ""Other"" REASON_OFF.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'REASON_OFF' == 'Other'.,,
VD,ANOTHER_STUDY,Enum,Optional,Did the subject enroll in another study after they went off of the study indicated by OFF_TYPE?,ncit:C178073,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Yes,The affirmative response to a question.,ncit:C49488,,,
PD,,,,,,No,The non-affirmative response to a question.,ncit:C49487,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Demographics,,,,,,,,,,
TD,Demographics,,Priority,,,,,,,,
TG,One row per subject,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,SEX,Enum,Mandatory,The biological sex of the subject.,ncit:C28421,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Male,"A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.",ncit:C20197,,,
PD,,,,,,Female,"A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.",ncit:C16576,,,
PD,,,,,,Undifferentiated,Sex could not be determined; not uniquely defined; undifferentiated.,ncit:C41438,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,RACE,Enum,Optional,A geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,ncit:C17049,_undefined_,_undefined_,_undefined_,,,Usually no data from Europeans
PD,,,,,,American Indian or Alaska Native,A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB),ncit:C41259,,,
PD,,,,,,Asian,"A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)",ncit:C41260,,,
PD,,,,,,Black or African American,"A person having origins in any of the Black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American"". (OMB)",ncit:C16352,,,
PD,,,,,,Multiracial,Having ancestors of several or various races.,ncit:C67109,,,
PD,,,,,,Native Hawaiian or Other Pacific Islander,"A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)",ncit:C41219,,,
PD,,,,,,White,"A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)",ncit:C41261,,,
PD,,,,,,Unknown,Reported as unknown by the data contributor.,ncit:C17998,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,RACE_OTHER,String,Optional,"Specify the ""Other"" RACE.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'RACE' == 'Other'.,,
VD,ETHNICITY,Enum,Optional,"The social and cultural characteristics, backgrounds, or experiences shared by a group of people. These include language, religion, beliefs, values, and behaviors that are often handed down from one generation to the next. Some conditions or diseases, such as cancer, may be more common in certain ethnic groups than in others. (Source: NCI Dictionary of Cancer Terms)",ncit:C16564,_undefined_,_undefined_,_undefined_,,,MW: ISPHO - which additional ethnicities are required?
PD,,,,,,Hispanic or Latino,"A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, ""Spanish origin,"" can be used in addition to ""Hispanic or Latino."" (OMB)",ncit:C17459,,,
PD,,,,,,Not Hispanic or Latino,"A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.",ncit:C41222,,,
PD,,,,,,Unknown,Reported as unknown by the data contributor.,ncit:C17998,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Demographics,,,,,,,,,,
TD,Family Medical History,,Optional,,,,,,,,
TG,One row per subject per family member per cancer type,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,CONDITION_STATUS,Enum,Mandatory,Does the relation have a medical history that includes cancer?,ncit:C17726,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Yes,The affirmative response to a question.,ncit:C49488,,,
PD,,,,,,No,The non-affirmative response to a question.,ncit:C49487,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,RELATION,Enum,Priority,What kind of relation is this relative who has had a relevant medical condition?,ncit:C21480,_undefined_,_undefined_,_undefined_,,,Add more relations? (second degree relatives and other)
PD,,,,,,Father,A male who contributes to the genetic makeup of his offspring through the fertilization of an ovum by his sperm.,ncit:C96572,,,
PD,,,,,,Mother,A female who contributes to the genetic makeup of her offspring from the fertilization of her ovum.,ncit:C96580,,,
PD,,,,,,Brother,A male who shares with his sibling the genetic makeup inherited from one or both of their shared biological parents.,ncit:C96570,,,
PD,,,,,,Sister,A female who shares with her sibling the genetic makeup inherited from one or both of their shared biological parents.,ncit:C96586,,,
PD,,,,,,Son,A male progeny with genetic makeup inherited from the parent.,ncit:C150888,,,
PD,,,,,,Daughter,A female progeny with genetic makeup inherited from the parent.,ncit:C150887,,,
PD,,,,,,"First-Degree Relative, NOS",,,,,
VD,CONDITION,String,Priority,The type of prior cancer from the medical history of the relative of the subject.,ncit:C185318,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'PRIOR_CANCER' == 'Yes'.,,"Per TROD, should we only report data where family only has NPC? Ask EC."
,,,,,,,,,,,
,,,,,,,,,,,
DD,Demographics,,,,,,,,,,
TD,Medical History,,Optional,,,,,,,,"Per TROD, need AGE_AT_CONDITION?"
TG,One row per subject per prior medical history,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,CONDITION_STATUS,Enum,Mandatory,Was this condition observed in the subject?,,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'CONDITION' not null.,,"Per TROD, this seems irrelevant to have 'No' because there are too many CONDITION"
PD,,,,,,Yes,The affirmative response to a question.,ncit:C49488,,,
PD,,,,,,No,The non-affirmative response to a question.,ncit:C49487,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,CONDITION,Enum,Mandatory,Relevant condition from the subject's medical history.,ncit:C18772,_undefined_,_undefined_,_undefined_,"D4CGNote: If subject had multiple prior medical conditions, include one observation per condition.",,
PD,,,,,,Adenomatous Polyposis Coli,"Adenomatous polyposis coli protein (2843 aa, ~312 kDa) is encoded by the human APC gene. This protein is involved in both tumor suppression and the inhibition of the Wnt signaling pathway.",ncit:C17687,,,
PD,,,,,,Adrenocortical Carcinoma / Adenoma,,,,,
PD,,,,,,ALL (Low Hypodiploid),,,,,
PD,,,,,,ALL (Ringed Chromosome 21),,,,,
PD,,,,,,ALL (Robertsonian translocation 15;21),,,,,
PD,,,,,,ALL Relapse (TP53 mutated),,,,,
PD,,,,,,AML (Monosomy 7),,,,,
PD,,,,,,Basal Cell Carcinoma,,,,,
PD,,,,,,Beckwith-Wiedemann Syndrome,"A genetic syndrome caused by abnormalities in chromosome 11. It is characterized by large birth weight, macroglossia, umbilical hernia, ear abnormalities, and hypoglycemia. Patients with this syndrome have an increased risk of developing embryonal tumors (gonadoblastoma, hepatoblastoma, Wilms tumor, Rhabdomyosarcoma) and adrenal cortex carcinomas.",ncit:C34415,,,
PD,,,,,,Bloom Syndrome,"Bloom syndrome is an autosomal recessive disorder associated with mutations in BLM gene encoding protein that belongs to the family of DNA helicases. It is characterized by predisposition to cancer, immunodeficiency, high sensitivity to UV and genomic instability of somatic cells.",ncit:C2903,,,
PD,,,,,,Botryoid Rhabdomyosarcoma Of The Urogenital Tract (Fusion-Negative),,,,,
PD,,,,,,Breast and Ovarian Cancer,"An autosomal dominant inherited syndrome caused by mutations in the BRCA1 or BRCA2 genes. Patients are at high risk of developing breast cancer, particularly before the age of fifty, high risk of developing a second primary breast cancer, and high risk of developing both breast and ovarian cancer.",ncit:C8493,,,
PD,,,,,,Celiac Disease,"An autoimmune genetic disorder with an unknown pattern of inheritance that primarily affects the digestive tract. It is caused by intolerance to dietary gluten. Consumption of gluten protein triggers an immune response which damages small intestinal villi and prevents adequate absorption of nutrients. Clinical signs include abdominal cramping, diarrhea or constipation and weight loss. If untreated, the clinical course may progress to malnutrition, anemia, osteoporosis and an increased risk of intestinal malignancies. However, the prognosis is favorable with successful avoidance of gluten in the diet.",ncit:C26714,,,
PD,,,,,,Central Hypoventilation Syndrome,A disorder characterized by hypoventilation and hypoxemia. It appears early in life and is not associated with cardiopulmonary or neuromuscular abnormalities.,ncit:C98889,,,
PD,,,,,,Cherubism,"A rare autosomal dominant inherited disorder usually caused by mutations in the SH3BP2 gene. It is characterized by a prominent lower part of the face due to bilateral replacement of the mandibular or maxillary bones by tumors. The tumors contain osteoclast-like cells admixed with spindle-shaped mononuclear stromal cells. With time, the tumors become more fibrotic and less osteoclast-rich.",ncit:C84630,,,
PD,,,,,,Chondromesenchymal Harmatoma,,,,,
PD,,,,,,Choroid Plexus Carcinoma / Tumor,,,,,
