INFO,Title,Central Nervous System Tumors (CNS) Data Dictionary,,,,,,,,,
INFO,Name,cns_v1.2,,,,,,,,,
INFO,Release Notes,,,,,,,,,,
INFO,Parent Data Model,pcdc_v2.0,,,,,,,,,
INFO,License,Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/),,,,,,,,,
INFO,D4CG Data Modeling Wiki,https://docs.pedscommons.org/,,,,,,,,,
INFO,Disease Consortium Information,https://commons.cri.uchicago.edu/pcdc/,,,,,,,,,
INFO,Description,,,,,,,,,,
INFO,Total Variables,,,,,,,,,,
,,,,,,,,,,,
RowType,VariableName,DataType,Tier,VariableDescription,VariableCode,PermissibleValue,ValueDescription,ValueCode,ImplementationNotes,Mappings,Modeling notes (Will be ignored in processing)
PD,,,,,,PNET 3,"Impact of radiotherapy parameters on outcome in the International Society of Paediatric Oncology/United Kingdom Children's Cancer Study Group PNET-3 study of preradiotherapy chemotherapy for M0-M1 medulloblastoma. This randomized study analyzes the impact of radiotherapy (RT) parameters on outcome in a randomized study of pre-RT chemotherapy for M0-M1 medulloblastoma. (Taylor RE, Bailey CC, Robinson KJ, Weston CL, Ellison D, Ironside J, Lucraft H, Gilbertson R, Tait DM, Saran F, Walker DA, Pizer BL, Lashford LS; United Kingdom Children's Cancer Study Group Brain Tumour Committee; International Society of Paediatric Oncology. Impact of radiotherapy parameters on outcome in the International Society of Paediatric Oncology/United Kingdom Children's Cancer Study Group PNET-3 study of preradiotherapy chemotherapy for M0-M1 medulloblastoma. Int J Radiat Oncol Biol Phys. 2004 Mar 15;58(4):1184-93. doi: 10.1016/j.ijrobp.2003.08.010. PMID: 15001263.)",,,,
PD,,,,,,HIT-SIOP PNET 4,"A Prospective Randomised Controlled Trial of Hyperfractionated Versus Conventionally Fractionated Radiotherapy in Standard Risk Medulloblastoma. This is an international prospective randomised trial, which will compare two radiotherapy regimens in children and adolescents (aged 4 or 5 years to 21 years inclusive) with carefully staged 'standard risk' medulloblastoma. (ClinicalTrials.gov Identifier: NCT01351870)",,,[cns_v1.1].[Subject Characteristics].[STUDY_ID].[PNET4] skos:exactMatch [cns_v1.2].[Subject Characteristics].[STUDY_ID].[HIT-SIOP PNET 4] ,
PD,,,,,,HERBY,"A Study of Bevacizumab (Avastin) in Combination With Temozolomide (TMZ) and Radiotherapy in Paediatric and Adolescent Participants With High-Grade Glioma. This randomized, open-label, multicenter, 2-arm study will investigate the efficacy, safety, tolerability and pharmacokinetics of bevacizumab when added to postoperative radiotherapy with concomitant and adjuvant TMZ as compared to postoperative radiotherapy with concomitant and adjuvant TMZ alone in paediatric participants with newly diagnosed histologically confirmed World Health Organization (WHO) Grade III or IV localized supratentorial or infratentorial cerebellar or peduncular high grade glioma (HGG). Participants will be randomly assigned to one of two treatment arms. (ClinicalTrials.gov Identifier: NCT01390948)",,,New PD,
PD,,,,,,PNOC003,"A pilot trial testing the clinical benefit of using molecular profiling to determine an individualized treatment plan in children and young adults with newly diagnosed DIPG. This study will use a new treatment approach based on each patient’s tumor gene expression and whole exome sequencing. The study will test the feasibility of a specialized tumor board assigning a treatment plan based on gene expression analysis, whole exome sequencing, and predictive modeling to establish a molecular-based-therapy approach at initial diagnosis. The treatment plan will take into consideration each patient’s tumor expression profile, gene mutations, and predictive modeling, as well as prior history and treatment(s), other medical conditions, and the age of the patient.",,,New PD,
PD,,,,,,PNOC007,"H3.3K27M Specific Peptide Vaccine Combined with poly-ICLC and Nivolumab for the Treatment of newly diagnosed HLA-A2 (02:01)+ H3.3K27M Positive Diffuse Intrinsic Pontine Glioma (DIPG) and newly diagnosed HLA-A2 (02:01)+ H3.3K27M Positive Midline Gliomas. Stratum A: To assess the safety of repeated administration of the H3.3K27M epitope specific vaccine in HLA-A2 (02:01)+ children with H3.3K27M positive DIPGs. To determine the overall survival at 12 months (OS12) in HLA-A2 (02:01)+ children with DIPG that are treated with repeated administration of the H3.3K27M peptide. Stratum B: To assess the safety of repeated administration of the H3.3K27M epitope specific vaccine in HLA-A2 (02:01)+ children with H3.3K27M positive midline gliomas other than DIPG, including spinal cord gliomas. Stratum C: To assess the safety of repeated administration of the H3.3K27M epitope specific vaccine in combination with the PD-1 inhibitor nivolumab in HLA-A2 (02:01)+ children with H3.3K27M positive midline gliomas including DIPG and midline gliomas (excluding spinal cord tumors).",,,New PD,
PD,,,,,,PNOC008,"A Pilot Trial Testing the Clinical Benefit of Using Molecular Profiling to Determine an Individualized Treatment Plan in Children and Young Adults with High Grade Glioma (Excluding Diffuse Intrinsic Pontine Glioma). The primary objectives of this trial is to determine the progression free survival at 12 months of children and young adults with newly diagnosed High Grade Glioma who underwent maximal safe surgical resection followed by focal radiation therapy who are being treated according to a specialized tumor board recommendation that is based on WES, targeted panel (UCSF500 gene panel), and RNA-Seq analysis of the tumor. Also, to determine the overall survival at 12 months in children with newly diagnosed midline High Grade Glioma (excluding DIPG) who underwent maximal safe surgical resection followed by focal radiation therapy who are being treated according to a personalized treatment recommendation that is based on WES, targeted panel (UCSF 500 gene panel), and RNA seq analysis of the tumor.",,,New PD,
PD,,,,,,PNOC009,A Phase I and Early Efficacy Study of Convection Enhanced Delivery of Irinotecan Liposome Injection Using Real Time Imaging with Gadolinium in Children with Diffuse Intrinsic Pontine Glioma. The primary objective of this trial is to determine the safety and tolerability of repeated administration of nal-IRI co-infused with gadoteridol given by intratumoral CED in children with newly diagnosed DIPG.,,,New PD,
PD,,,,,,PNOC0013,"A Safety and Pharmacokinetic Study of Single Agent REGN2810 in Pediatric Patients with Relapsed or Refractory Solid or Central Nervous System (CNS) Tumors and a Safety and Efficacy Trial of REGN2810 in Combination with Radiotherapy in Pediatric Patients. The primary objective of this trial is to determine the safety and recommended phase 2 dose of REGN2810 for children with recurrent solid or CNS tumors, and newly diagnosed DIPG or HGG and recurrent HGG when given with radiotherapy.",,,New PD,
PD,,,,,,PNOC0015,An Open Label Single Arm Phase I/II study of MTX110 delivered by convection-enhanced delivery (CED) in patients with diffuse intrinsic pontine glioma (DIPG) previously treated with external beam radiation therapy. The primary objectives of this trial is to determine the safety and tolerability of repeated administration of MTX110 co-infused with gadoteridol given by intratumoral CED in children with newly diagnosed DIPG.,,,New PD,
PD,,,,,,PNOC0016,"A Target Validation Study of Fimepinostat in Children and Young Adults with Newly Diagnosed Diffuse Intrinsic Pontine Glioma (DIPG), Recurrent Medulloblastoma, or Recurrent High-Grade Glioma (HGG). The primary objectives of this trial is to confirm penetration of fimepinostat across the blood brain barrier (BBB) in children and young adults with newly diagnosed DIPG, recurrent medulloblastoma, or recurrent HGG by measuring concentration of fimepinostat in tumor tissue.",,,New PD,
PD,,,,,,PNOC0018,"A Phase 1 Clinical Trial of Autologous T Cells Expressing a TCR Specific for H3.3K27M with Inhibition of Endogenous TCR (KIND T Cells) in HLA-A*0201-positive Participants with H3.3K27M-positive Diffuse Midline Gliomas. The primary objective of this trial is to determine the safety and tolerability of a single intravenous (IV) infusion of KIND T cells in HLA A*0201+ participants with H3.3K27M+ diffuse midline gliomas. Also, to determine the feasibility of a single intravenous (IV) infusion of KIND T cells in HLA A*0201+ participants with H3.3K27M+ diffuse midline gliomas.",,,New PD,
PD,,,,,,PNOC0022,"A Combination Therapy Trial using an Adaptive Platform Design for Children and Young Adults with Diffuse Midline Gliomas (DMGs) including Diffuse Intrinsic Pontine Gliomas (DIPGs) at Initial Diagnosis, Post-Radiation Therapy and at Time of Progression. The primary objective of this trial for cohorts 1 and 2 is to assess efficacy of combination therapy with ONC201 and novel agent in participants with DMG based on median progression-free survival at 6 months (PFS6). For cohort 3, the primary objective is to assess efficacy of combination therapy with ONC201 and novel agent in participants with recurrent DMG based on overall survival at 7 months (OS7).",,,New PD,
PD,,,,,,PNOC0023,"Open label Phase 1 and Target Validation study of ONC206 in Children and Young Adults with Newly Diagnosed or Recurrent Diffuse Midline Glioma (DMG), and Other Recurrent Primary Malignant Brain Tumors. The primary objective for Phase 1 Arm A is to determine the MTD of ONC206 as single agent in children and young adults with DMG who completed at least one line of prior therapy that included focal radiation therapy. The primary objective for Arm B is to determine the MTD of ONC206 in combination with focal radiation therapy in newly diagnosed children and young adults with DMG. The primary objective for Arm C is to determine the MTD of ONC206 in combination with re- irradiation in children and young adults with first progression of DMG. The primary objective for Arm D is determine the MTD of ONC206 in children and young adults with recurrent primary malignant CNS tumors including participants with recurrent DMGs if they are not eligible for the other arms.",,,New PD,
PD,,,,,,ACNS0126,"A Phase II Study of Temozolomide in the Treatment of Children With High Grade Glioma. This phase II trial is studying how well giving chemotherapy together with radiation therapy after surgery followed by chemotherapy alone works in children with newly diagnosed astrocytoma, glioblastoma multiforme, gliosarcoma, or diffuse intrinsic pontine glioma. (ClinicalTrials.gov: NCT00028795)",,,New PD,
PD,,,,,,ACNS0423,A Phase II Study of Concurrent Radiation and Temozolomide Followed By Temozolomide and CCNU in the Treatment of Children With High-Grade Glioma. This phase II trial is studying how well giving radiation therapy together with temozolomide and lomustine works in treating young patients with newly diagnosed gliomas. (ClinicalTrials.gov: NCT00100802),,,New PD,
PD,,,,,,ACNS0822,"A Randomized Phase II/III Study of Vorinostat and Local Irradiation OR Temozolomide and Local Irradiation OR Bevacizumab and Local Irradiation Followed by Maintenance Bevacizumab and Temozolomide in Children With Newly Diagnosed High-Grade Gliomas. This randomized phase II/III trial is studying vorinostat, temozolomide, or bevacizumab to see how well they work compared with each other when given together with radiation therapy followed by bevacizumab and temozolomide in treating young patients with newly diagnosed high-grade glioma. (ClinicalTrials.gov: NCT01236560)",,,New PD,
PD,,,,,,ACNS1721,"A Phase 2 Study of Veliparib (ABT-888) and Local Irradiation, Followed by Maintenance Veliparib and Temozolomide, in Patients With Newly Diagnosed High-Grade Glioma (HGG) Without H3 K27M or BRAFV600 Mutations. This phase II trial studies how well veliparib, radiation therapy, and temozolomide work in treating patients with newly diagnosed malignant glioma without H3 K27M or BRAFV600 mutations.(ClinicalTrials.gov: NCT03581292)",,,New PD,
PD,,,,,,10-C-0219,,,,New PD,
PD,,,,,,Study # 2014-0135,,,,New PD,
PD,,,,,,A9952,,,,New PD,
PD,,,,,,ACNS0224,,,,New PD,
PD,,,,,,ACNS1821,,,,New PD,
PD,,,,,,ADVL0012,,,,New PD,
PD,,,,,,AFLACST1501,,,,New PD,
PD,,,,,,BIOMEDE,,,,New PD,
PD,,,,,,BXQ-350 AD,,,,New PD,
PD,,,,,,CA209908,,,,New PD,
PD,,,,,,CCG99703,,,,New PD,
PD,,,,,,CCG09712,,,,New PD,
PD,,,,,,CCG945,,,,New PD,
PD,,,,,,CCG9941,,,,New PD,
PD,,,,,,CLEE011XUS17T,,,,New PD,
PD,,,,,,COG A09712,,,,New PD,
PD,,,,,,CONNECT 1701,,,,New PD,
PD,,,,,,CONNECT 1702,,,,New PD,
PD,,,,,,DART Clinical Trial,,,,New PD,
PD,,,,,,ECREST study,,,,New PD,
PD,,,,,,HGG-BAT,,,,New PD,
PD,,,,,,MSKCC 11-011,,,,New PD,
PD,,,,,,MSKCC 09-014,,,,New PD,
PD,,,,,,NCI 02-C-0193,,,,New PD,
PD,,,,,,NCT04196413,,,,New PD,
PD,,,,,,NCT04264143,,,,New PD,
PD,,,,,,PBTC 029,,,,New PD,
PD,,,,,,PBTC017,,,,New PD,
PD,,,,,,PBTC-50,,,,New PD,
PD,,,,,,POE08-01,,,,New PD,
PD,,,,,,POG 9239,,,,New PD,
PD,,,,,,POG 9631,,,,New PD,
PD,,,,,,POG 9836,,,,New PD,
PD,,,,,,POG 9879,,,,New PD,
PD,,,,,,Protocol BT-55,,,,New PD,
PD,,,,,,SCH52365,,,,New PD,
PD,,,,,,SDT-201,,,,New PD,
PD,,,,,,SIOP LGG 2004,,,,New PD,
PD,,,,,,SJBG07,,,,New PD,
PD,,,,,,SJHG12,,,,New PD,
PD,,,,,,SJHG98,,,,New PD,
PD,,,,,,SJPDGF,,,,New PD,
PD,,,,,,SU5416,,,,New PD,
PD,,,,,,TOPNOC,,,,New PD,
PD,,,,,,TOPNOC-001,,,,New PD,
PD,,,,,,YMB 1000 013,,,,New PD,
PD,,,,,,ZD-1839,,,,New PD,
PD,,,,,,02-294 DFCI,,,,New PD,
PD,,,,,,11-C-0161,,,,New PD,
PD,,,,,,15-C-0093,,,,New PD,
PD,,,,,,AALL0434,,,,New PD,
PD,,,,,,AALL1731,,,,New PD,
PD,,,,,,AAML03P1,,,,New PD,
PD,,,,,,AAML0531,,,,New PD,
PD,,,,,,ACNS0121,,,,New PD,
PD,,,,,,ACNS0122,,,,New PD,
PD,,,,,,ACNS0222,,,,New PD,
PD,,,,,,ACNS0223,,,,New PD,
PD,,,,,,ACNS0232,,,,New PD,
PD,,,,,,ACNS0621,,,,New PD,
PD,,,,,,ACNS0821,,,,New PD,
PD,,,,,,ACNS0831,,,,New PD,
PD,,,,,,ACNS0927,,,,New PD,
PD,,,,,,ACNS1021,,,,New PD,
PD,,,,,,ACNS1022,,,,New PD,
PD,,,,,,ACNS1123,,,,New PD,
PD,,,,,,ACNS1221,,,,New PD,
PD,,,,,,ACNS1422,,,,New PD,
PD,,,,,,ACNS1723,,,,New PD,
PD,,,,,,ACNS1831,,,,New PD,
PD,,,,,,ACNS1833,,,,New PD,
PD,,,,,,ACNS1931,,,,New PD,
PD,,,,,,Ad-RTS-hIL-12,,,,New PD,
PD,,,,,,ADVL0414,,,,New PD,
PD,,,,,,ADVL0416,,,,New PD,
PD,,,,,,ADVL0515,,,,New PD,
PD,,,,,,ADVL0612,,,,New PD,
PD,,,,,,ADVL0815,,,,New PD,
PD,,,,,,ADVL0819,,,,New PD,
PD,,,,,,ADVL0912,,,,New PD,
PD,,,,,,ADVL0921,,,,New PD,
PD,,,,,,ADVL1013,,,,New PD,
PD,,,,,,ADVL1111,,,,New PD,
PD,,,,,,ADVL1112,,,,New PD,
PD,,,,,,ADVL1217,,,,New PD,
PD,,,,,,ADVL1312,,,,New PD,
PD,,,,,,ADVL1411,,,,New PD,
PD,,,,,,ADVL1414,,,,New PD,
PD,,,,,,ADVL1513,,,,New PD,
PD,,,,,,ADVL1514,,,,New PD,
PD,,,,,,ADVL1515,,,,New PD,
PD,,,,,,ADVL1615,,,,New PD,
PD,,,,,,ADVL1622,,,,New PD,
PD,,,,,,ADVL1711,,,,New PD,
PD,,,,,,AEWS0031,,,,New PD,
PD,,,,,,AEWS1031,,,,New PD,
PD,,,,,,AG881-C-004,,,,New PD,
PD,,,,,,AGCT0132,,,,New PD,
PD,,,,,,AGCT1531,,,,New PD,
PD,,,,,,AGCT1532,,,,New PD,
PD,,,,,,AIEOP EP II,,,,New PD,
PD,,,,,,ANBL00B1,,,,New PD,
PD,,,,,,ANBL00P1,,,,New PD,
PD,,,,,,ANBL0531,,,,New PD,
PD,,,,,,ANBL0532,,,,New PD,
PD,,,,,,ANBL09P1,,,,New PD,
PD,,,,,,ANBL12P1,,,,New PD,
PD,,,,,,ANBL1531,,,,New PD,
PD,,,,,,ANHL0131,,,,New PD,
PD,,,,,,Antineoplaston Therapy protocol,,,,New PD,
PD,,,,,,APEC1621,,,,New PD,
PD,,,,,,BRAINCHILD-01,,,,New PD,
PD,,,,,,BRAINCHILD-02,,,,New PD,
PD,,,,,,BRAINCHILD-03,,,,New PD,
PD,,,,,,CCG-99701,,,,New PD,
PD,,,,,,CCG-A5971,,,,New PD,
PD,,,,,,CCG-A9952,,,,New PD,
PD,,,,,,CCG-A9961,,,,New PD,
PD,,,,,,CCG-99703,,,,New PD,
PD,,,,,,CCG-D9803,,,,New PD,
PD,,,,,,CCG-P9970,,,,New PD,
PD,,,,,,CCMC1411,,,,New PD,
PD,,,,,,CDRB436G2201,,,,New PD,
PD,,,,,,CERN-08-01,,,,New PD,
PD,,,,,,ChildrenHLA,,,,New PD,
PD,,,,,,CHMC-6006,,,,New PD,
PD,,,,,,CONNECT1701,,,,New PD,
PD,,,,,,CONNECT1702,,,,New PD,
PD,,,,,,CPT-SIOP-2000,,,,New PD,
PD,,,,,,CPT-SIOP-2009,,,,New PD,
PD,,,,,,DFMO,,,,New PD,
PD,,,,,,DIPG-BATS,,,,New PD,
PD,,,,,,ETMR One,,,,New PD,
PD,,,,,,GemPOx,,,,New PD,
PD,,,,,,Head Start 4,,,,New PD,
PD,,,,,,HGG-01,,,,New PD,
PD,,,,,,HIT-GBM-C,,,,New PD,
PD,,,,,,HSPPC-96,,,,New PD,
PD,,,,,,HUMC 1612,,,,New PD,
PD,,,,,,INCB7839,,,,New PD,
PD,,,,,,INDIGO,,,,New PD,
PD,,,,,,LGG 14C03,,,,New PD,
PD,,,,,,LOXO-TRK 15003,,,,New PD,
PD,,,,,,MEK116540,,,,New PD,
PD,,,,,,MEK162,,,,New PD,
PD,,,,,,MEMMAT,,,,New PD,
PD,,,,,,METRICS,,,,New PD,
PD,,,,,,MIN-001P-1501,,,,New PD,
PD,,,,,,MK-3475,,,,New PD,
PD,,,,,,MSKCC-03077,,,,New PD,
PD,,,,,,N2012-01,,,,New PD,
PD,,,,,,NCI-MATCH,,,,New PD,
PD,,,,,,NCT01185964,,,,New PD,
PD,,,,,,NCT01502917,,,,New PD,
PD,,,,,,NCT02924038,,,,New PD,
PD,,,,,,NCT03696355,,,,New PD,
PD,,,,,,NF105,,,,New PD,
PD,,,,,,NF106,,,,New PD,
PD,,,,,,NLG2105,,,,New PD,
PD,,,,,,NMTRC V0706,,,,New PD,
PD,,,,,,NMTRC009,,,,New PD,
PD,,,,,,ONC028,,,,New PD,
PD,,,,,,ONC201,,,,New PD,
PD,,,,,,OZM-063,,,,New PD,
PD,,,,,,OZM-075,,,,New PD,
PD,,,,,,OZM-077,,,,New PD,
PD,,,,,,PBTC001,,,,New PD,
PD,,,,,,PBTC0056,,,,New PD,
PD,,,,,,PBTC014,,,,New PD,
PD,,,,,,PBTC020,,,,New PD,
PD,,,,,,PBTC021,,,,New PD,
PD,,,,,,PBTC026,,,,New PD,
PD,,,,,,PBTC027,,,,New PD,
PD,,,,,,PBTC030,,,,New PD,
PD,,,,,,PBTC033,,,,New PD,
PD,,,,,,PBTC042,,,,New PD,
PD,,,,,,PBTC045,,,,New PD,
PD,,,,,,PBTC047,,,,New PD,
PD,,,,,,PBTC056,,,,New PD,
PD,,,,,,PEDSCCT6005,,,,New PD,
PD,,,,,,PEG-Intron,,,,New PD,
PD,,,,,,Pittsburgh Vaccine Trial Cycle,,,,New PD,
PD,,,,,,PNOC001,,,,New PD,
PD,,,,,,PNOC002,,,,New PD,
PD,,,,,,PNOC005,,,,New PD,
PD,,,,,,PNOC010,,,,New PD,
PD,,,,,,PNOC014,,,,New PD,
PD,,,,,,PNOC015,,,,New PD,
PD,,,,,,PNOC016,,,,New PD,
PD,,,,,,PNOC022,,,,New PD,
PD,,,,,,PNOC026,,,,New PD,
PD,,,,,,POG9233,,,,New PD,
PD,,,,,,PRO13110086,,,,New PD,
PD,,,,,,R115777-INT-11,,,,New PD,
PD,,,,,,RAD001,,,,New PD,
PD,,,,,,REMATCH,,,,New PD,
PD,,,,,,REMIND,,,,New PD,
PD,,,,,,RTOG-0929,,,,New PD,
PD,,,,,,SARC006,,,,New PD,
PD,,,,,,SARC011,,,,New PD,
PD,,,,,,SARC031,,,,New PD,
PD,,,,,,SARC037,,,,New PD,
PD,,,,,,SC9005,,,,New PD,
PD,,,,,,SEL-TH-1601,,,,New PD,
PD,,,,,,SIOP-EP-II,,,,New PD,
PD,,,,,,SIOP-LGG-2004,,,,New PD,
PD,,,,,,SIOP-PNET-4,,,,New PD,
PD,,,,,,SJATART,,,,New PD,
PD,,,,,,SJDAWN,,,,New PD,
PD,,,,,,SJMB03,,,,New PD,
PD,,,,,,SJMB12,,,,New PD,
PD,,,,,,SJMB-96,,,,New PD,
PD,,,,,,SJREFU,,,,New PD,
PD,,,,,,SJYC07,,,,New PD,
PD,,,,,,TB-403,,,,New PD,
PD,,,,,,TK216,,,,New PD,
PD,,,,,,TOTEM,,,,New PD,
PD,,,,,,VINILO study,,,,New PD,
PD,,,,,,VITAC,,,,New PD,
PD,,,,,,VP-16,,,,New PD,
PD,,,,,,VOIT,,,,New PD,
PD,,,,,,CCG-9921,,,,New PD,
PD,,,,,,CCG-9942,,,,New PD,
PD,,,,,,Baby POG-1,,,,New PD,
PD,,,,,,COJEC,,,,New PD,
PD,,,,,,PNOC013,,,,New PD,
PD,,,,,,CHP455,,,,New PD,
PD,,,,,,CHP693,,,,New PD,
PD,,,,,,CHP719,,,,New PD,
PD,,,,,,CHP735,,,,New PD,
PD,,,,,,CCLG-EPSSG-NRSTS-2005,,,,New PD,
PD,,,,,,IRS-III,,,,New PD,
PD,,,,,,JET Protocol,,,,New PD,
PD,,,,,,PBTC004,,,,New PD,
PD,,,,,,PBTC005,,,,New PD,
PD,,,,,,PBTC006,,,,New PD,
PD,,,,,,PBTC007,,,,New PD,
PD,,,,,,PBTC016,,,,New PD,
PD,,,,,,PBTC018,,,,New PD,
PD,,,,,,PBTC022,,,,New PD,
PD,,,,,,PBTC023,,,,New PD,
PD,,,,,,PBTC024,,,,New PD,
PD,,,,,,PBTC025,,,,New PD,
PD,,,,,,PBTC049,,,,New PD,
PD,,,,,,PBTC050,,,,New PD,
PD,,,,,,PBTC051,,,,New PD,
PD,,,,,,PBTC053,,,,New PD,
PD,,,,,,PBTC055,,,,New PD,
PD,,,,,,Head Start II,,,,New PD,
PD,,,,,,Head Start III,,,,New PD,
PD,,,,,,SIOP-CNS-GCT-96,,,,New PD,
PD,,,,,,POG9048,,,,New PD,
PD,,,,,,CCG-921,,,,New PD,
PD,,,,,,HIT-HGG-2013,,,,New PD,
PD,,,,,,rHSC-DIPGVax,,,,New PD,
PD,,,,,,Stupp Protocol,,,,New PD,
PD,,,,,,NCT01222754,,,,New PD,
PD,,,,,,POG-P9934,,,,New PD,
PD,,,,,,AOST0331,,,,New PD,
PD,,,,,,PBTC-029,,,,New PD,
PD,,,,,,PBTC048,,,,New PD,
