CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,PV Descriptions,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,"Classification (e.g., Core)",Version Number,Version Date,CRF Module / Guideline,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
C01558,Partial pressure oxygen brain tissue measurement,PPO2BrainTissMeasr,Measurement of how much oxygen is dissolved in the brain tissue (PbtO2),Measurement of how much oxygen is dissolved in the brain tissue (PbtO2),Partial pressure oxygen brain tissue measurement,,,Numeric Values,Capture in millimeters of mercury (mmHg),No references available,Adult;Pediatric,Supplemental,5,38:25.0,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Free-Form Entry,0,300,,,,,
C05458,Inadvertent hypocapnia indicator,InadvertHypocapniaInd,"Indicator of inadvertent hypocapnia episode. Inadvertent hypocapnia is defined as the partial pressure of carbon dioxide in the blood (paCo2) <= 25 mmHg (3.3 kPa), not deliberately employed to treat elevated intracranial pressure","Indicator of inadvertent hypocapnia episode. Inadvertent hypocapnia is defined as the partial pressure of carbon dioxide in the blood (paCo2) <= 25 mmHg (3.3 kPa), not deliberately employed to treat elevated intracranial pressure",Inadvertent hypocapnia indicated,Yes;No;Suspected;Unknown,Yes;No;Suspected;Unknown,Alphanumeric,"Choose one. Response obtained from medical charts and/or patient data management system. Add date stamp for when assessed. Recommend collection at least during initial medical treatment.  Many types of second insults may occur in the in-hospital situation, both systemic and intracranial. Systemic second insults may for example also include episodes of hypoglaecemia, hyponatremia, hypernatremia, hyperthermia and many more. We chose to recommend to document the clinically most relevant and frequently occurring second insults: hypoxia, hypotension, inadvertent hypocapnia and seizure activity. Hypoxia, hypotension and inadvertent hypocapnia are the most frequent causes of jugular desaturations, and periods of low brain tissue oxygen tension. The depth and duration of systemic second insults during the clinical course is related to poorer outcome. In the intensive care environment with continuous monitoring, accurate detection of the number and duration of episodes of second insults should be possible. Thus permitting an accurate documentation of the number, depth and duration of these insults individually and summated per insult over a given period. Unfortunately, most commercially available monitoring systems do not include dedicated software to facilitate this approach. We therefore recommend to simply document the occurrence of second insults, differentiating single episodes of short duration from multiple episodes or those of more prolonged duration, as these latter may have more profound effects in aggravating secondary brain damage.   Pediatric-specific notes:  Second insults are commonly defined by threshold values but these values are not well established in pediatrics. Based on the available data for pediatric TBI , thresholds of 80-180 mg/dL for glucose are recommended. A threshold for hemoglobin is more difficult to define given emerging data on the lower limit of hemoglobin safely tolerated by critically ill children in general and the variable effect of blood transfusion in children with severe TBI specifically.","McHugh GS, Engel DC, Butcher I, et al. Prognostic value of secondary insults in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2):287-93. Signorini DF, Andrews PJ, Jones PA, et al. Adding insult to injury: the prognostic value of early secondary insults for survival after traumatic brain injury. J Neurol Neurosurg Psychiatry. Jan 1999;66(1):26-31  Pediatric reference: Adelson PD, Bratton SL, Carney, NA, Chesnut RM, du Coudray HE, Goldstein B, Kochanek PM, Miller HC, Partington MD, Selden NR, Warden CR, Wright DW. uidelines for the acute medical management of severe traumatic brain injury in infants, children, and adolescents. Chapter 6. Threshold for treatment of intracranial hypertension. (2003a). Pediatr Crit Care Med 4:S25-S27.",Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05141,Volatile intravenous anesthesia indicator,VolatileIntravenAnesthesiaInd,Indicator of volatile or intravenous anesthesia given to the participant/subject,Indicator of volatile or intravenous anesthesia given to the participant/subject,Volatile intravenous anesthesia given,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05142,Arterial line indicator,ArterialLineInd,Indicator of an arterial line used to administer medication,Indicator of an arterial line used to administer medication,Arterial line used,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05144,Foley catheter indicator,FoleyCathInd,Indicator of Foley catheter used for the participant/subject,Indicator of Foley catheter used for the participant/subject,Foley catheter used,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05147,Transfusion indicator,TransfusionInd,Indicator of transfusion performed on participant/subject,Indicator of transfusion performed on participant/subject,Transfusion performed,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05148,Transfusion type,TransfusionType,Type of transfusion performed,Type of transfusion performed,Transfusion type,FFP;Platelet;cryoppt;pRBC,FFP;Platelet;cryoppt;pRBC,Alphanumeric,"Choose one. If transfusion indicated, specify type",No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05149,End of case extubated indicator,EndOfCaseExtubateInd,Indicator that participant/subject was extubated at end of case,Indicator that participant/subject was extubated at end of case,Extubated at end of case,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
C05150,Microdialysis glutamate value,MicrodialGlutamateVal,Value of glutamate as obtained by microdialysis,Value of glutamate as obtained by microdialysis,Microdialysis glutamate value,,,Numeric Values,,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Free-Form Entry,,,,,,,
C05151,Microdialysis lactate to pyruvate ratio value,MicrodialLactatPyruvatRatioVal,Value of lactate to pyruvate ratio as obtained by microdialysis,Value of lactate to pyruvate ratio as obtained by microdialysis,Microdialysis lactate to pyruvate ratio value,,,Numeric Values,,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Free-Form Entry,,,,,,,
C05156,Cerebral spinal fluid drainage indicator,CSFDrainageInd,Indicator of cerebral spinal fluid (CSF) drainage,Indicator of cerebral spinal fluid (CSF) drainage,Cerebral spinal fluid drainage indicated,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,Choose one.,No references available,Adult;Pediatric,Supplemental,3,21:25.6,Intraoperative Management,Surgeries and Other Procedures,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,
