Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
hospitdischgdatetime,discharge_information,,text,Hospital discharge date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C04804
hospdischrgdesttyp,discharge_information,,dropdown,Destination upon discharge from hospital,"1, Discharge to rehabilitation unit | 2, Discharge to other hospital | 3, Discharge to nursing home | 4, Discharge to home/private residence | 5, Not applicable - patient died | 6, Other, specify | 7, Unknown",Choose one.,,,,,,,,,,,C04809
icudischrgdatetime,discharge_information,,text,ICU discharge date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C04805
icudischrgdesttyp,discharge_information,,dropdown,ICU discharge destination type,"1, Discharge to other ICU | 2, Discharge to rehabilitation unit | 3, Discharge to other hospital | 4, Discharge to nursing home | 5, Not applicable - patient died | 6, Other, specify | 7, Unknown | 8, Discharge to general ward",Choose one.,,,,,,,,,,,C04806
deathdatetime,end_points,,text,Date and time of death,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C04802
deathcausetxt,end_points,,text,Primary cause of death,,Recommend 4 fields for coding primary cause and other underlying or contributing causes of death. Should use death certificate if available.,,,,,,,,,,,C04800
deathcauseicd10cmcode,end_points,,text,ICD-10-CM Code,,,,,,,,,,,,,C21665
drgsubstcurrntillicituseind,general_health_history,,dropdown,Indicates illicit drug use in the past year,"1, Yes | 2, No | 3, Unknown","Choose one. Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Do not record medications that are prescribed for medical purposes (these should be entered in the element 'medical history'.)  Collect information on substances and medications taken for reasons other than prescription, or taken more frequently or at higher doses than prescribed. Assure participant/subject that information on such use will be treated as strictly confidential. Recommend collection as soon as possible after visit/admission.  Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.",,,,,,,,,,,C00713
drugsubstncpriorillictuseind,general_health_history,,dropdown,Indicates illicit drug use prior to the past 12 months,"1, Yes | 2, No | 3, Unknown","Choose one.  Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Do not record medications that are prescribed for medical purposes (these should be entered in the element 'medical history'.)  Collect information on substances and medications taken for reasons other than prescription, or taken more frequently or at higher doses than prescribed. Assure participant/subject that information on such use will be treated as strictly confidential. Recommend collection as soon as possible after visit/admission.  Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.",,,,,,,,,,,C00717
drgsubsillctusedur,general_health_history,,text,Duration in years of illicit drug use,,"Response is obtained by report of the participant/subject or proxy as soon as possible after visit/admission. Document when the behavioral history was collected so as to determine whether this information was obtained prior to study enrollment or later. Do not record medications that are prescribed for medical purposes (these should be entered in the element 'medical history'.)  Collect information on substances and medications taken for reasons other than prescription, or taken more frequently or at higher doses than prescribed. Assure participant/subject that information on such use will be treated as strictly confidential. Recommend collection as soon as possible after visit/admission. Substance abuse directly before injury may have contributed to the incident causing injury. In general, substance abuse may indicate increased risk taking behavior.",number,0.0,99.0,,,,,,,,C00716
sbscrbddrgsubillctusecat,general_health_history,,dropdown,"If YES, specify illicit drug type(s) used","1, Sedatives (e.g., sleeping pills, barbiturates, Seconal, Quaaludes, or Chloral Hydrate) | 2, Tranquilizers or anti-anxiety drugs (e.g., Valium, Librium, muscle relaxants, or Xanax) | 3, Painkillers (e.g., Codeine, Darvon, Percodan, Dilaudid, or Demerol) | 4, Stimulants (e.g., Preludin, Benzedrine, Methadrine, uppers, or speed) | 5, Marijuana, hash, THC, or grass | 6, Cocaine or crack | 7, Hallucinogens (e.g., Ecstasy, LSD, mescaline, psilocybin, PCP, angel dust, or peyote) | 8, Inhalants or Solvents (e.g., amyl nitrate, nitrous oxide, glue, toluene, or gasoline | 9, Heroin | 10, Other, specify (e.g., Methadone, Elavil, steroids, Thorazine, or Haldol)",Choose all that apply. Response is obtained from report by participant/subject or proxy. Document whether this information was obtained prior to study enrollment or later. Recommend collection as soon as possible after visit/admission.,,,,,,,,,,,C00712
injdatetime,history_of_disease_injury_event,,text,Injury date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05400
injdatereliabltyp,history_of_disease_injury_event,,dropdown,Reliability of injury date,"1, Verified | 2, Estimated | 3, Unknown",Choose one,,,,,,,,,,,C05401
injdatetimeesttyp,history_of_disease_injury_event,,dropdown,"If estimated, the point in time estimated as injury date","1, Time that the participant/subject became symptomatic | 2, Time of first trauma activation | 3, Time of presentation to emergency department",Choose one,,,,,,,,,,,C05403
hospfirsttreatarrdatetime,history_of_disease_injury_event,,text,"If first treated at a hospital prior to arriving at study center, arrival date and time",,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05406
hospitladmissdatetime,history_of_disease_injury_event,,text,Hospital admission date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05408
injimmdtmedclservrecvdind,history_of_disease_injury_event,,dropdown,Were initial medical services received directly after injury?,"1, Yes | 2, No | 3, Unknown",Choose one,,,,,,,,,,,C05411
injcausetyp,history_of_disease_injury_event,,dropdown,Cause of TBI,"1, Railway accidents | 2, Motor vehicle traffic accidents | 3, Motor vehicle nontraffic accidents | 4, Other road vehicle accidents | 5, Water transport accidents | 6, Air and space transport accidents | 7, Vehicle accidents not elsewhere classifiable | 8, Accidental poisoning by drugs, medicinal substances, and biologicals | 9, Accidental poisoning by other solid and liquid substances, gases, and vapors | 10, Misadventures to patients during surgical and medical care | 11, Surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure | 12, Accidental falls | 13, Accidents caused by fire and flames | 14, Accidents due to natural and environmental factors (e900-e909) | 15, Accidents caused by submersion, suffocation, and foreign bodies | 16, Other accidents | 17, Late effects of accidental injury | 18, Drugs, medicinal and biological substances causing adverse effects in therapeutic use | 19, Suicide and self-inflicted injury | 20, Homicide and injury purposely inflicted by other persons | 21, Legal intervention | 22, Terrorism | 23, Injury undetermined whether accidentally or purposely inflicted | 24, Injury resulting from operations of war | 25, Railway accidents",Choose all that apply from codelist and/or fill in appropriate ICD-9-CM e-codes below,,,,,,,,,,,C05422
tbicausetyp,history_of_disease_injury_event,,dropdown,Type of TBI,"1, Closed | 2, Penetrating | 3, Blast | 4, Crush | 5, Unknown",Choose one,,,,,,,,,,,C58469
tbimechtyp,history_of_disease_injury_event,,dropdown,Mechanism of TBI,"1, Acceleration/Deceleration | 2, Direct impact: blow to head | 3, Direct impact: head against object | 4, Crush | 5, Blast | 6, Ground level fall | 7, Fall from height &gt | 8, 1 meter (3 ft) | 9, Gunshot wound | 10, Fragment (incl. shell/shrapnel) | 11, Other penetrating brain injury",Choose all that apply,,,,,,,,,,,C05424
infalclkhdtyp,history_of_disease_injury_event,,dropdown,Likelihood that participant/subject was under the influence of alcohol?,"1, None | 2, Suspected | 3, Confrimed | 4, Unknown",Choose one,,,,,,,,,,,C18397
trffaccdntselfdrginglkhdtyp,history_of_disease_injury_event,,dropdown,Traffic accident self drug influence likelihood type,"1, Suspected | 2, Confirmed | 3, Unknown | 4, None",Choose one. Response is obtained from hospital reports.,,,,,,,,,,,C05431
trffaccdntothprtydrginflkhdtyp,history_of_disease_injury_event,,dropdown,Traffic accident self drug influence likelihood type,"1, Suspected | 2, Confirmed | 3, Unknown | 4, None",Choose one. Response is obtained from hospital reports.,,,,,,,,,,,C05432
imgstdydatetime,imaging_diagnostics,,text,Imaging study date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C02494
imgmodltytyp,imaging_diagnostics,,dropdown,Imaging modality,"1, Non-contrast CT | 2, X-Ray Angiography | 3, Contrast CT | 4, MRI | 5, CT Angiography",Choose one,,,,,,,,,,,C02437
imgscannermanufname,imaging_diagnostics,,dropdown,Imaging scanner manufacturer name (choose one),"1, Agfa | 2, Hitachi | 3, Philips | 4, Other, specify | 5, Carestream | 6, Toshiba | 7, Hologic | 8, Siemens | 9, GE | 10, Konica Minolta",Choose one.,,,,,,,,,,,C02496
imgscannermodelnametxt,imaging_diagnostics,,text,Imaging scanner model name,,No instructions available,,,,,,,,,,,C20247
imgscannersftwrvrsnnumtxt,imaging_diagnostics,,text,Imaging scanner software version number,,No instructions available,,,,,,,,,,,C02498
gunshtwndclbrnum,imaging_diagnostics,,text,Gunshot wound caliber number,,No instructions available,number,,,,,,,,,,C02462
labspecmncolldatetime,laboratory_tests_and_biospecimens_biomarkers,,text,Date collected Time collected,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C01701
labpanelcat,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Lab panel,"1, Chemistry | 2, Hematology | 3, Urinalysis | 4, Other, specify",Choose one.,,,,,,,,,,,C01703
labspecmntyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Lab specimen type,"1, Venous blood - serum | 2, Venous blood - plasma | 3, Venous blood - platelets | 4, Venous blood - buffy coat | 5, Venous blood - whole | 6, Arterial blood - serum | 7, Arterial blood - plasma | 8, Arterial blood - platelets | 9, Arterial blood - buffy coat | 10, Arterial blood - whole | 11, Newborn cord blood | 12, Urine | 13, CSF | 14, Buccal swab | 15, Brain tissue | 16, Saliva | 17, Amniotic fluid | 18, Placenta | 19, Other, specify | 20, Blood",Choose one,,,,,,,,,,,C01712
labtestreslttxt,laboratory_tests_and_biospecimens_biomarkers,,text,Result,,Enter the alphanumeric result,,,,,,,,,,,C01706
labtestresltuom,laboratory_tests_and_biospecimens_biomarkers,,text,Units for result,,Choose or specify the appropriate response.,,,,,,,,,,,C01711
labtestresltstatus,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Was test result abnormal?,"1, Normal | 2, Abnormal | 3, Unknown",Choose one.  Indicate if the laboratory test result is abnormal.  Abnormal means the test result falls outside the normal range.,,,,,,,,,,,C01709
labtestabnrmlysignfcncetyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,"If abnormal, clinically significant?","1, Clinically Significant | 2, Not Clinically Significant","Choose one.  If the laboratory test result is abnormal, indicate if the physician considers the result clinically significant.",,,,,,,,,,,C01707
drgscrnqualreslt,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Drug screen qualitative result,"1, Negative | 2, Positive | 3, Inconclusive | 4, Not available",No instructions available,,,,,,,,,,,C01717
drgscrnpossubstnctyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Drug screen screen positive type,"1, Cocaine metabolite | 2, Marijuana metabolites | 3, Opiates (codeine and morphine) | 4, Phencyclidine | 5, Barbiturates | 6, Benzodiazepines | 7, Methadone | 8, Propoxyphene | 9, Other, specify | 10, Amphetamines",Choose all that apply.,,,,,,,,,,,C01718
drgscrnsampltyp,laboratory_tests_and_biospecimens_biomarkers,,dropdown,Drug screen sample type,"1, Serum | 2, Urine | 3, Hair | 4, Saliva | 5, Other, specify",Choose all that apply.,,,,,,,,,,,C01719
informconsntobtndatetime,participant_subject_identification_eligibility_and_enrollment,,text,Date and time of informed consent,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C02212
informconsnttyp,participant_subject_identification_eligibility_and_enrollment,,dropdown,Type of consent,"1, Written informed consent by the participant/subject | 2, Written informed consent by the legal representative on behalf of the participant/subject who gave assent | 3, Written informed consent by the legal representative on behalf of the participant/subject who was unable to give assent | 4, Waiver of consent",Choose one.,,,,,,,,,,,C02299
intracrnlprcdrsind,surgeries_and_other_procedures,,dropdown,Were any intracranial procedures performed on participant/subject?,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05127
airwytrtmttyp,surgeries_and_other_procedures,,dropdown,Airway treatment type,"1, Supplemental oxygen | 2, Adjunctive airway | 3, Temporary support with bag, valve, mask | 4, Intubation | 5, Mechanical ventilation | 6, Unknown | 7, No specific treatment",Choose all that apply.,,,,,,,,,,,C01500
surgtherapprocedurtyp,surgeries_and_other_procedures,,dropdown,Surgical or therapeutic procedure type,"1, Appendicectomy | 2, Cholecystectomy | 3, Colostomy | 4, Ileostomy | 5, Feeding tube placement | 6, Fundoplication | 7, Scoliosis surgery | 8, Tendon release | 9, Tympanostomy tubes | 10, Tracheostomy | 11, Airway surgery | 12, Other surgery, specify | 13, Unknown | 14, Diagnostic | 15, Anterior temporal lobectomy (ATL) | 16, Anterior temporal lobectomy plus (ATL+) | 17, Amygdalohippocampectomy | 18, Lesionectomy | 19, Lesionectomy plus (Lesionectomy +) | 20, Extratemporal resection (Topectomy) | 21, Multi-lobar resection | 22, Hemispherectomy | 23, Vagus nerve stimulation (VNS) surgery | 24, Corpus callosotomy | 25, Multiple subpial transection | 26, Radiosurgery | 27, Therapeutic brain stimulation | 28, Other, specify | 29, Appendicostomy | 30, Appendectomy | 31, Neurological surgery | 32, Bony orthopedic surgery","Choose all that apply. Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-9 coding.",,,,,,,,,,,C05108
surgtherapproceduroth,surgeries_and_other_procedures,,text,Other,,"Choose all that apply. Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-9 coding.",,,,,,,,,,,C18765
surgtherapuprocicd10cmothtxt,surgeries_and_other_procedures,,text,"	ICD-10-CM code (Code from the International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-10-CM) for the selected surgical procedure)",,"Recommend collection during acute hospital care. Document information on a continuing basis and check/update on discharge/death from review of medical charts. Add date stamp for when assessed.  In previous trials and studies, information on surgical procedures has typically been documented in free text format, thus often precluding any meaningful analysis. We therefore propose the use of ICD-10 coding.",,,,,,,,,,,C21669
inpatoutpatstatus,surgeries_and_other_procedures,,dropdown,Inpatient or Outpatient,"1, Inpatient | 2, Outpatient | 3, Home health",Choose one.,,,,,,,,,,,C05104
surgtherapuprocstartdatetime,surgeries_and_other_procedures,,text,Surgical or therapeutic procedure start date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05106
surgtherapuprocenddatetime,surgeries_and_other_procedures,,text,Surgical or therapeutic procedure end date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C05105
asastdmonitorsusedtype,surgeries_and_other_procedures,,dropdown,ASA monitor type,"1, BP | 2, ECG | 3, SaO2",Choose all that apply.,,,,,,,,,,,C05140
tempmeasr,surgeries_and_other_procedures,,text,Temperature measurement,,,number,0.0,50.0,,,,,,,,C01539
ppo2braintissmeasr,surgeries_and_other_procedures,,text,Partial pressure oxygen brain tissue measurement,,Capture in millimeters of mercury (mmHg),number,0.0,300.0,,,,,,,,C01558
inadverthypocapniaind,surgeries_and_other_procedures,,dropdown,Inadvertent hypocapnia indicated,"1, Yes | 2, No | 3, Suspected | 4, Unknown","Choose one. Response obtained from medical charts and/or patient data management system. Add date stamp for when assessed. Recommend collection at least during initial medical treatment.  Many types of second insults may occur in the in-hospital situation, both systemic and intracranial. Systemic second insults may for example also include episodes of hypoglaecemia, hyponatremia, hypernatremia, hyperthermia and many more. We chose to recommend to document the clinically most relevant and frequently occurring second insults: hypoxia, hypotension, inadvertent hypocapnia and seizure activity. Hypoxia, hypotension and inadvertent hypocapnia are the most frequent causes of jugular desaturations, and periods of low brain tissue oxygen tension. The depth and duration of systemic second insults during the clinical course is related to poorer outcome. In the intensive care environment with continuous monitoring, accurate detection of the number and duration of episodes of second insults should be possible. Thus permitting an accurate documentation of the number, depth and duration of these insults individually and summated per insult over a given period. Unfortunately, most commercially available monitoring systems do not include dedicated software to facilitate this approach. We therefore recommend to simply document the occurrence of second insults, differentiating single episodes of short duration from multiple episodes or those of more prolonged duration, as these latter may have more profound effects in aggravating secondary brain damage.   Pediatric-specific notes:  Second insults are commonly defined by threshold values but these values are not well established in pediatrics. Based on the available data for pediatric TBI , thresholds of 80-180 mg/dL for glucose are recommended. A threshold for hemoglobin is more difficult to define given emerging data on the lower limit of hemoglobin safely tolerated by critically ill children in general and the variable effect of blood transfusion in children with severe TBI specifically.",,,,,,,,,,,C05458
volatileintravenanesthesiaind,surgeries_and_other_procedures,,dropdown,Volatile intravenous anesthesia given,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05141
arteriallineind,surgeries_and_other_procedures,,dropdown,Arterial line used,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05142
foleycathind,surgeries_and_other_procedures,,dropdown,Foley catheter used,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05144
transfusionind,surgeries_and_other_procedures,,dropdown,Transfusion performed,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05147
transfusiontype,surgeries_and_other_procedures,,dropdown,Transfusion type,"1, FFP | 2, Platelet | 3, cryoppt | 4, pRBC","Choose one. If transfusion indicated, specify type",,,,,,,,,,,C05148
endofcaseextubateind,surgeries_and_other_procedures,,dropdown,Extubated at end of case,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05149
microdialglutamateval,surgeries_and_other_procedures,,text,Microdialysis glutamate value,,,number,,,,,,,,,,C05150
microdiallactatpyruvatratioval,surgeries_and_other_procedures,,text,Microdialysis lactate to pyruvate ratio value,,,number,,,,,,,,,,C05151
csfdrainageind,surgeries_and_other_procedures,,dropdown,Cerebral spinal fluid drainage indicated,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05156
tbitherapintenslvlglobasescod,therapies,,dropdown,Global categorization of therapy intensity level (TIL),"1, TIL 0 | 2, TIL 1 - Core ICU care | 3, TIL 2 - Mild | 4, TIL 3 - Moderate | 5, TIL 4 - Extreme",Choose one.,,,,,,,,,,,C05137
tbitherapintenslvlproctype,therapies,,dropdown,Type of Procedure used to determine therapy intensity level (TIL):,"1, Nursed flat (180°) for CPP management | 2, Sedation (low dose as required for mechanical ventilation) | 3, Higher dose sedation for ICP control (not aiming for burst suppression) | 4, Metabolic suppression for ICP control with high dose barbiturates or propofol | 5, Neuromuscular blockade (paralysis) | 6, CSF drainage &lt | 7, 120 ml/day (&lt | 8, 5 ml/hour) | 9, CSF drainage greater than or equal to 120 ml (greater than or equal to 5 ml/hour) | 10, Fluid loading for maintenance of cerebral perfusion | 11, Vasopressor therapy required for management of cerebral perfusion | 12, Mild hypocapnia for ICP control [PaCO2 4.6 – 5.3 kPa (35 - 40 mmHg)] | 13, Moderate hypocapnia for ICP control [PaCO2 greater than or equal to 4 kPa (30 mmHg)] | 14, Intensive hypocapnia for ICP control [PaCO2 &lt | 15, 4 kPa (30 mmHg)] | 16, Hyperosmolar therapy with mannitol up to 2 g/kg/24 hours | 17, Hyperosmolar therapy with hypertonic saline up to 0.3 g/kg/24 hours | 18, Hyperosmolar therapy with mannitol &gt | 19, 2 g/kg/24 hours | 20, Hyperosmolar therapy with hypertonic saline &gt | 21, 0.3 g/kg/24 hours | 22, Treatment of fever (temp.&gt | 23, 38°C) or spontaneous temp. below 34.5°C | 24, Mild hypothermia for ICP control with a lower limit of 35°C | 25, Hypothermia below 35°C | 26, Intracranial operation for progressive mass lesion, not scheduled on admission | 27, Decompressive craniectomy | 28, Head elevation for ICP control",Choose all that apply.,,,,,,,,,,,C05138
tbitherapintenslvlprocind,therapies,,dropdown,	Was procedure administered (used to determine therapy intensity level (TIL)):,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05139
pediatintenslvltherapyscalscr,therapies,,text,Pediatric intensity level of therapy (0-38):,,Score ranges from 0-38.  Daily recording recommended. This element is recommended for pediatric studies.,number,,,,,,,,,,C07429
resprate,vital_signs_and_other_body_measures,,text,Respiratory rate,,"Add date stamp for when assessed. Hypoxia, hypercapnia, and hypocapnia have all been associated with poor outcome.",number,0.0,120.0,,,,,,,,C01535
