Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
hgtmeasrmethdtyp,vital_signs_and_other_body_measures,,dropdown,Method measuring height,"1, Self-reported | 2, Measured","Choose one. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",,,,,,,,,,,C01513
icpmonitorstartdatetime,vital_signs_and_other_body_measures,,text,ICP monitoring start date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C01566
icpmonitorstoprsn,vital_signs_and_other_body_measures,,dropdown,Reason ICP monitoring was stopped,"1, Clinically improved/no longer required | 2, Patient considered unsalvageable/futility | 3, Monitor/catheter failure | 4, Patient died | 5, Unknown",Choose one. Documentation of the reason for stopping monitoring is relevant when interpreting measured values and their relation to therapy intensity.,,,,,,,,,,,C01567
icpmonitorprobtype,vital_signs_and_other_body_measures,,dropdown,Type of problem experienced during ICP monitoring,"1, Catheter obstruction/failure | 2, Suspicion of inaccurate measurement | 3, Accidental catheter removal | 4, Other, specify | 5, None",Choose all that apply. Recommend collection on a daily basis. Measured values may be influenced by catheter malfunction. It is therefore highly important to document possible problems in ICP monitoring.,,,,,,,,,,,C01569
icpmonitorstopdatetime,vital_signs_and_other_body_measures,,text,ICP monitoring stop date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C01568
icpcathetrreviseind,vital_signs_and_other_body_measures,,dropdown,Was the intracranial pressure catheter indicator revised?,"1, Yes | 2, No | 3, Unknown",Choose one. To be completed on a daily basis.  Measured values may be influenced by catheter malfunction. It is therefore highly important to document possible problems in ICP monitoring.,,,,,,,,,,,C01570
icpcathetranatsite,vital_signs_and_other_body_measures,,dropdown,Intracranial pressure catheter atomic site,"1, Epidural | 2, Intraparenchymal | 3, Intraventricular | 4, Subdural | 5, Other, specify",Choose one. The reliability and comparability of measured values may in part depend on the device used.,,,,,,,,,,,C01571
icpdevicetype,vital_signs_and_other_body_measures,,dropdown,Intracranial pressure device type,"1, Intraparenchymal | 2, Other, specify | 3, Ventriculostomy",Choose one. The reliability and comparability of measured values may in part depend on the device used.,,,,,,,,,,,C01572
icpmeasr,vital_signs_and_other_body_measures,,text,Intracranial  pressure measurement,,Recommend collection during acute hospital care. The recommended reference range is -10 to 300 mmHg. Add date stamp for when assessed.,number,,,,,,,,,,C01573
icpmaxdailymeasr,vital_signs_and_other_body_measures,,text,Intracranial pressure maximum daily measurement,,"The suggested range is -10 to 300 mmHg. Recommend collection during acute hospital care. Add date stamp for when assessed. It is recommended to document the highest ICP, zeroing the ICP monitor at the level of the foramen of Monro and to relate all hourly data to date and time of injury, as being the only fixed time event across patients. Monitoring for and treating raised ICP is an important element in the management of patients with severe TBI. Pediatric-specific notes: As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the Core datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).  For valid comparison of results between patients and across studies, a common approach towards zeroing the ICP monitor should be agreed upon. For fluid coupled systems we suggest that the ICP monitor be zeroed to the level of the foramen of Monro.",number,,,,,,,,,,C01574
icpmeandailymeasr,vital_signs_and_other_body_measures,,text,Intracranial pressure mean daily measurement,,"The suggested range is -10 to 300 mmHg. Recommend collection during acute hospital care. Add date stamp for when assessed.  Record the average ICP on a daily basis. The average does not need to be the mathematical average of multiple measurements, but rather the value most representative of this 'daily' period. It is recommended to zero the ICP monitor at the level of the foramen of Monro and to relate all hourly data to date and time of injury, as being the only fixed time event across patients.Monitoring for and treating raised ICP is an important element in the management of patients with severe TBI.",number,,,,,,,,,,C01575
icpeps20mmhg5mindurct,vital_signs_and_other_body_measures,,text,Intracranial pressure episodes greater than 20 mmHg lasting longer than five minutes,,Recommend collection during acute hospital care. Add date stamp for when assessed.,number,,,,,,,,,,C01576
icpepisodover20mmhgct,vital_signs_and_other_body_measures,,text,Intracranial pressure episodes greater than 20 mmHG,,Recommend collection during acute hospital care. Add date stamp for when assessed.,number,,,,,,,,,,C01577
cerebrlperfuspressrval,vital_signs_and_other_body_measures,,text,Cerebral perfusion pressure value,,"Calculate Cerebral Perfusion Pressure using the formula CPP = MABP- ICPThis element is recommended for pediatric studies. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (supplemental data set).",number,,,,,,,,,,C01578
cerbrlperfsnprsreplwr60mmhgnum,vital_signs_and_other_body_measures,,text,Cerebral perfusion pressure episodes lower than 60 mmHg,,Recommend collection during acute hospital care. Add date stamp for when assessed.,number,,,,,,,,,,C01579
