Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ppo2braintissmeasr,surgeries_and_other_procedures,,text,Partial pressure oxygen brain tissue measurement,,Capture in millimeters of mercury (mmHg),number,0.0,300.0,,,,,,,,C01558
inadverthypocapniaind,surgeries_and_other_procedures,,dropdown,Inadvertent hypocapnia indicated,"1, Yes | 2, No | 3, Suspected | 4, Unknown","Choose one. Response obtained from medical charts and/or patient data management system. Add date stamp for when assessed. Recommend collection at least during initial medical treatment.  Many types of second insults may occur in the in-hospital situation, both systemic and intracranial. Systemic second insults may for example also include episodes of hypoglaecemia, hyponatremia, hypernatremia, hyperthermia and many more. We chose to recommend to document the clinically most relevant and frequently occurring second insults: hypoxia, hypotension, inadvertent hypocapnia and seizure activity. Hypoxia, hypotension and inadvertent hypocapnia are the most frequent causes of jugular desaturations, and periods of low brain tissue oxygen tension. The depth and duration of systemic second insults during the clinical course is related to poorer outcome. In the intensive care environment with continuous monitoring, accurate detection of the number and duration of episodes of second insults should be possible. Thus permitting an accurate documentation of the number, depth and duration of these insults individually and summated per insult over a given period. Unfortunately, most commercially available monitoring systems do not include dedicated software to facilitate this approach. We therefore recommend to simply document the occurrence of second insults, differentiating single episodes of short duration from multiple episodes or those of more prolonged duration, as these latter may have more profound effects in aggravating secondary brain damage.   Pediatric-specific notes:  Second insults are commonly defined by threshold values but these values are not well established in pediatrics. Based on the available data for pediatric TBI , thresholds of 80-180 mg/dL for glucose are recommended. A threshold for hemoglobin is more difficult to define given emerging data on the lower limit of hemoglobin safely tolerated by critically ill children in general and the variable effect of blood transfusion in children with severe TBI specifically.",,,,,,,,,,,C05458
volatileintravenanesthesiaind,surgeries_and_other_procedures,,dropdown,Volatile intravenous anesthesia given,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05141
arteriallineind,surgeries_and_other_procedures,,dropdown,Arterial line used,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05142
foleycathind,surgeries_and_other_procedures,,dropdown,Foley catheter used,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05144
transfusionind,surgeries_and_other_procedures,,dropdown,Transfusion performed,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05147
transfusiontype,surgeries_and_other_procedures,,dropdown,Transfusion type,"1, FFP | 2, Platelet | 3, cryoppt | 4, pRBC","Choose one. If transfusion indicated, specify type",,,,,,,,,,,C05148
endofcaseextubateind,surgeries_and_other_procedures,,dropdown,Extubated at end of case,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05149
microdialglutamateval,surgeries_and_other_procedures,,text,Microdialysis glutamate value,,,number,,,,,,,,,,C05150
microdiallactatpyruvatratioval,surgeries_and_other_procedures,,text,Microdialysis lactate to pyruvate ratio value,,,number,,,,,,,,,,C05151
csfdrainageind,surgeries_and_other_procedures,,dropdown,Cerebral spinal fluid drainage indicated,"1, Yes | 2, No | 3, Unknown",Choose one.,,,,,,,,,,,C05156
